,participant_id,ed_level,english,age,q_type,indv_q_score,knowledge,q_time,vis_q_consistency,article_title,article_id,question
0,15753933298135549085,graduate school,Advanced,23,non_vis,0,1,30.693,,David (Donatello),308,What material is Donatelloâs David made of?
1,15753933298135549085,graduate school,Advanced,23,non_vis,0,1,23.358,,David (Donatello),308,Is David in Donatelloâs sculpture smiling?
2,15753933298135549085,graduate school,Advanced,23,non_vis,0,1,7.651,,Pincho,54,What is the usual base of a pincho?
3,15753933298135549085,graduate school,Advanced,23,non_vis,0,1,6.216,,Pincho,54,"Why are they called ""pinchos""?"
4,15753933298135549085,graduate school,Advanced,23,vis,1,1,4.893,,David (Donatello),308,"Where is Donatelloâs David located?

"
5,15753933298135549085,graduate school,Advanced,23,vis,0,1,8.843,,David (Donatello),308,Who commissioned the statue according to scholars?
6,15753933298135549085,graduate school,Advanced,23,vis,0,1,5.395,1,Pincho,54,In what part of Spain are pinchos traditionally consumed?
7,15753933298135549085,graduate school,Advanced,23,vis,0,1,4.974,0,Pincho,54,Where are pinchos typically consumed?
8,15753933298135549085,graduate school,Advanced,23,image,1,1,10.72,,David (Donatello),308,Which one is Donatello's David?
9,15753933298135549085,graduate school,Advanced,23,image,1,1,7.999,,Pincho,54,Which is a pincho?
10,16991882249711996358,high school,Advanced,21,non_vis,0,1,28.524,,Newgrange,61,What is the front retaining wall of the mound made of?
11,16991882249711996358,high school,Advanced,21,non_vis,0,1,10.849,,Newgrange,61,What is the shape of the passage tomb mound?
12,16991882249711996358,high school,Advanced,21,non_vis,0,2,8.413,,Taos Pueblo,153,How are houses built in the Pueblo positioned in relation to each other?
13,16991882249711996358,high school,Advanced,21,non_vis,1,2,7.251,,Taos Pueblo,153,What were the Taos Pueblo walls constructed out of?
14,16991882249711996358,high school,Advanced,21,vis,1,1,15.853,0,Newgrange,61,During which period was Newgrange built?
15,16991882249711996358,high school,Advanced,21,vis,0,1,8.984,1,Newgrange,61,When is the entrance to Newgrange aligned with the rising sun?
16,16991882249711996358,high school,Advanced,21,vis,1,2,8.141,1,Taos Pueblo,153,What was the primary purpose of the north-side Pueblo when it was built?
17,16991882249711996358,high school,Advanced,21,vis,1,2,7.1,1,Taos Pueblo,153,How many rooms do most of the homes in the Taos Pueblo contain?
18,16991882249711996358,high school,Advanced,21,image,1,1,8.363,,Newgrange,61,Which is the Newgrange passage tomb?
19,16991882249711996358,high school,Advanced,21,image,1,2,5.802,,Taos Pueblo,153,Which is the Taos Pueblo?
20,12330140005983011656,graduate school,Upper-Intermediate,24,non_vis,1,3,6.885,,Carolina Reaper,884,"When fully ripe, about how big is a Carolina Reaper pepper?"
21,12330140005983011656,graduate school,Upper-Intermediate,24,non_vis,1,3,9.455,,Carolina Reaper,884,What texture is the Carolina Reaper Pepper?
22,12330140005983011656,graduate school,Upper-Intermediate,24,non_vis,1,1,19.146,,Akara,991,AcarajÃ© is made from cooked and mashed cowpeas deep-fried in what kind of oil?
